IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
69.63.223.90,443,TRUE,LAX,US,California,153,356,AS906
179.253.244.60,443,TRUE,LAX,US,California,154,362,AS906
154.17.22.7,8443,TRUE,LAX,US,California,157,360,AS906
179.255.125.66,443,TRUE,LAX,US,California,149,353,AS906
154.21.91.211,443,TRUE,LAX,US,California,167,0,AS906
154.12.177.92,443,TRUE,HKG,HK,,193,2128,AS906
179.255.101.22,8443,TRUE,LAX,US,California,173,346,AS906
179.255.124.191,443,TRUE,LAX,US,California,162,351,AS906
154.17.25.76,443,TRUE,LAX,US,California,181,367,AS906
64.186.228.106,443,TRUE,LAX,US,California,164,334,AS906
179.255.101.125,443,TRUE,LAX,US,California,179,354,AS906
179.255.97.28,443,TRUE,LAX,US,California,173,352,AS906
179.255.120.161,443,TRUE,LAX,US,California,153,214,AS906
154.17.18.76,443,TRUE,LAX,US,California,172,359,AS906
179.255.108.205,8443,TRUE,LAX,US,California,168,359,AS906
179.255.156.8,443,TRUE,LAX,US,California,164,359,AS906
154.21.86.136,443,TRUE,LAX,US,California,185,349,AS906
179.255.152.201,443,TRUE,LAX,US,California,150,353,AS906
179.255.148.166,443,TRUE,LAX,US,California,182,358,AS906
179.253.232.221,443,TRUE,LAX,US,California,174,372,AS906
179.253.248.58,443,TRUE,LAX,US,California,160,370,AS906
179.253.224.82,443,TRUE,LAX,US,California,170,361,AS906
191.223.221.59,443,TRUE,NRT,JP,Tokyo,65,855,AS906
179.255.96.82,443,TRUE,LAX,US,California,158,361,AS906
179.255.108.22,443,TRUE,LAX,US,California,152,367,AS906
179.253.244.104,8443,TRUE,LAX,US,California,161,357,AS906
69.63.221.30,443,TRUE,LAX,US,California,182,361,AS906
179.255.124.68,443,TRUE,LAX,US,California,165,354,AS906
154.17.26.204,443,TRUE,LAX,US,California,159,364,AS906
174.136.205.75,443,TRUE,LAX,US,California,1245,84,AS906
64.186.229.166,443,TRUE,LAX,US,California,158,347,AS906
191.222.217.173,8443,TRUE,HKG,HK,,42,1270,AS4760
179.253.228.68,443,TRUE,LAX,US,California,153,344,AS906
179.255.148.3,443,TRUE,LAX,US,California,152,368,AS906
179.253.249.10,8443,TRUE,LAX,US,California,150,369,AS906
179.255.148.158,443,TRUE,LAX,US,California,146,356,AS906

